Wall time,Step,Value
1573466768.7637975,0,0.3627593219280243
1573467353.8095648,1,0.00673280656337738
1573467886.1697354,2,0.014942166395485401
1573468413.5972035,3,0.013143490999937057
1573468936.0236335,4,0.005235463846474886
1573469452.7656455,5,0.007432417944073677
1573469969.9734483,6,0.012750730849802494
1573470488.7093735,7,0.01194071490317583
1573471007.783151,8,0.006784024182707071
1573471526.8313122,9,0.005628719460219145
1573472041.555405,10,0.007155350875109434
1573472562.918217,11,0.01561006996780634
1573473086.989698,12,0.004023401532322168
1573473601.882505,13,0.00040845564217306674
1573474114.8680115,14,0.0002510423364583403
1573474627.1616623,15,0.00015451762010343373
1573475138.8580678,16,0.0001255743991350755
1573475652.4913037,17,9.508732182439417e-05
1573476166.3235273,18,7.305961480597034e-05
1573476676.829904,19,7.084180106176063e-05
1573477186.5340362,20,6.676271732430905e-05
1573477696.6685314,21,5.146461262484081e-05
1573478206.5645335,22,5.635170600726269e-05
1573478719.4763234,23,4.626137524610385e-05
1573479229.9792547,24,4.058680860907771e-05
1573479745.050518,25,3.644001481006853e-05
1573480255.7328153,26,3.674098843475804e-05
1573480768.1347704,27,3.278005533502437e-05
1573481278.3663425,28,2.7816755391540937e-05
1573481788.7342238,29,2.7999310987070203e-05
1573482298.4748278,30,2.8779570129700005e-05
1573482806.9489675,31,2.419962765998207e-05
1573483315.934913,32,2.0520375983323902e-05
1573483829.1936588,33,2.176403177145403e-05
1573484340.3333495,34,2.058257450698875e-05
1573484851.7241182,35,2.0107912860112265e-05
1573485362.6622915,36,1.8318834918318316e-05
1573485870.5299208,37,1.5386947779916227e-05
1573486379.314649,38,1.374409293930512e-05
1573486891.2259386,39,1.5086200619407464e-05
1573487399.6867998,40,1.6067473552539013e-05
1573487909.777918,41,1.5730256563983858e-05
1573488419.3352425,42,1.3534105164580978e-05
1573488929.0614343,43,1.37900469781016e-05
1573489440.1001658,44,1.44269242809969e-05
1573489951.8026972,45,1.2496712770371232e-05
1573490461.6297102,46,1.224121206178097e-05
1573490975.7232308,47,1.0408227353764232e-05
1573491485.9908564,48,1.0301605470885988e-05
1573491995.8290296,49,1.100398731068708e-05
